hotel,is_canceled,lead_time,arrival_date_year,arrival_date_month,arrival_date_week_number,arrival_date_day_of_month,stays_in_weekend_nights,stays_in_week_nights,adults,children,babies,meal,country,market_segment,distribution_channel,reserved_room_type,assigned_room_type,booking_changes,deposit_type,customer_type,adr,required_car_parking_spaces,total_of_special_requests,total_nights,revenue
Resort Hotel,0,7,2015,July,27,1,0,1,1,0,0,BB,GBR,Direct,Direct,A,C,0,No Deposit,Transient,75.0,0,0,1,75.0
Resort Hotel,0,13,2015,July,27,1,0,1,1,0,0,BB,GBR,Corporate,Corporate,A,A,0,No Deposit,Transient,75.0,0,0,1,75.0
Resort Hotel,0,14,2015,July,27,1,0,2,2,0,0,BB,GBR,Online TA,TA/TO,A,A,0,No Deposit,Transient,98.0,0,1,2,196.0
Resort Hotel,0,14,2015,July,27,1,0,2,2,0,0,BB,GBR,Online TA,TA/TO,A,A,0,No Deposit,Transient,98.0,0,1,2,196.0
Resort Hotel,0,0,2015,July,27,1,0,2,2,0,0,BB,PRT,Direct,Direct,C,C,0,No Deposit,Transient,107.0,0,0,2,214.0
Resort Hotel,0,9,2015,July,27,1,0,2,2,0,0,FB,PRT,Direct,Direct,C,C,0,No Deposit,Transient,103.0,0,1,2,206.0
Resort Hotel,1,85,2015,July,27,1,0,3,2,0,0,BB,PRT,Online TA,TA/TO,A,A,0,No Deposit,Transient,82.0,0,1,3,246.0
Resort Hotel,1,75,2015,July,27,1,0,3,2,0,0,HB,PRT,Offline TA/TO,TA/TO,D,D,0,No Deposit,Transient,105.5,0,0,3,316.5
Resort Hotel,1,23,2015,July,27,1,0,4,2,0,0,BB,PRT,Online TA,TA/TO,E,E,0,No Deposit,Transient,123.0,0,0,4,492.0
Resort Hotel,0,35,2015,July,27,1,0,4,2,0,0,HB,PRT,Online TA,TA/TO,D,D,0,No Deposit,Transient,145.0,0,0,4,580.0
Resort Hotel,0,68,2015,July,27,1,0,4,2,0,0,BB,USA,Online TA,TA/TO,D,E,0,No Deposit,Transient,97.0,0,3,4,388.0
Resort Hotel,0,18,2015,July,27,1,0,4,2,1,0,HB,ESP,Online TA,TA/TO,G,G,1,No Deposit,Transient,154.77,0,1,4,619.08
Resort Hotel,0,37,2015,July,27,1,0,4,2,0,0,BB,PRT,Online TA,TA/TO,E,E,0,No Deposit,Transient,94.71,0,0,4,378.84
Resort Hotel,0,68,2015,July,27,1,0,4,2,0,0,BB,IRL,Online TA,TA/TO,D,E,0,No Deposit,Transient,97.0,0,3,4,388.0
Resort Hotel,0,37,2015,July,27,1,0,4,2,0,0,BB,PRT,Offline TA/TO,TA/TO,E,E,0,No Deposit,Contract,97.5,0,0,4,390.0
Resort Hotel,0,12,2015,July,27,1,0,1,2,0,0,BB,IRL,Online TA,TA/TO,A,E,0,No Deposit,Transient,88.2,0,0,1,88.2
Resort Hotel,0,0,2015,July,27,1,0,1,2,0,0,BB,FRA,Corporate,Corporate,A,G,0,No Deposit,Transient,107.42,0,0,1,107.42
Resort Hotel,0,7,2015,July,27,1,0,4,2,0,0,BB,GBR,Direct,Direct,G,G,0,No Deposit,Transient,153.0,0,1,4,612.0
Resort Hotel,0,37,2015,July,27,1,1,4,1,0,0,BB,GBR,Online TA,TA/TO,F,F,0,No Deposit,Transient,97.29,0,1,5,486.45000000000005
Resort Hotel,0,72,2015,July,27,1,2,4,2,0,0,BB,PRT,Direct,Direct,A,A,1,No Deposit,Transient,84.67,0,1,6,508.02
Resort Hotel,0,72,2015,July,27,1,2,4,2,0,0,BB,PRT,Direct,Direct,A,A,1,No Deposit,Transient,84.67,0,1,6,508.02
